,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
580,5998.0,,,216.5,263.2,59.98
581,6006.6,624.3,,,,60.066
582,6008.73047,,0.45,,,60.087304700000004
583,6027.92334,,-0.02,,,60.2792334
584,6035.4,659.97201,,,,60.354
585,6039.0,,,216.6,262.7,60.39
586,6047.11182,,-0.4,,,60.4711182
587,6062.1,632.3333333,,,,60.621
588,6066.76611,,-0.8,,,60.6676611
589,6086.92725,,0.06,,,60.869272499999994
590,6088.6,605.7,,,,60.886
591,6103.0,626.4409586,,,,61.03
592,6106.67334,,0.49,,,61.066733400000004
593,6115.7,632.6666667,,,,61.157
594,6117.7,623.9108336,,,,61.177
595,6126.71484,,-1.52,,,61.267148399999996
596,6131.0,,,218.9,261.2,61.31
597,6139.3,651.0,,,,61.393
598,6146.75195,,0.8,,,61.4675195
599,6158.4,640.3333333,,,,61.583999999999996
600,6165.99609,,-0.93,,,61.659960899999994
601,6185.56348,,-0.51,,,61.8556348
602,6205.2,641.85,,,,62.052
603,6205.3252,,-0.71,,,62.053252
604,6221.2,640.7,,,,62.211999999999996
605,6224.92188,,0.03,,,62.2492188
606,6244.90576,,-0.68,,,62.449057599999996
607,6251.6,659.5559579,,,,62.516000000000005
608,6263.0,,,218.4,261.1,62.63
609,6265.25293,,-1.23,,,62.6525293
610,6285.96436,,0.27,,,62.8596436
611,6306.17871,,-0.19,,,63.061787100000004
612,6319.4,647.171,,,,63.193999999999996
613,6323.2,649.3,,,,63.232
614,6325.78125,,-1.3,,,63.2578125
615,6346.05469,,-1.55,,,63.4605469
616,6354.0,,,217.7,259.4,63.54
617,6367.22217,,-0.38,,,63.6722217
618,6381.0,664.5976184,,,,63.81
619,6387.99365,,-1.37,,,63.87993650000001
620,6409.05469,,-0.76,,,64.09054689999999
621,6420.7,648.0380811,,,,64.207
622,6427.8,659.7,,,,64.278
623,6430.11035,,-0.47,,,64.3011035
624,6434.0,,,216.4,262.1,64.34
625,6449.43555,,0.79,,,64.4943555
626,6468.30127,,-0.14,,,64.6830127
627,6485.4,654.1022348,,,,64.854
628,6487.40918,,-1.78,,,64.8740918
629,6502.0,653.7,,,,65.02
630,6508.77686,,-1.34,,,65.0877686
631,6530.53564,,0.81,,,65.3053564
632,6545.0,,,216.8,262.9,65.45
633,6550.47754,,-0.48,,,65.5047754
634,6569.66113,,-1.27,,,65.6966113
635,6572.8,661.5987688,,,,65.72800000000001
636,6590.10791,,-0.71,,,65.9010791
637,6599.3,657.3,,,,65.993
638,6611.98047,,-2.27,,,66.1198047
639,6617.0,,,216.8,258.1,66.17
640,6633.31201,,-0.22,,,66.3331201
641,6654.39893,,-1.5,,,66.5439893
642,6675.47266,,-2.0,,,66.7547266
643,6693.9,670.74,,,,66.939
644,6695.09766,,0.6,,,66.9509766
645,6697.6,659.0,,,,66.976
646,6713.0,,,216.9,257.6,67.13
647,6714.92676,,0.23,,,67.1492676
